time,gFx,gFy,gFz,TgF
17:39:55:713,0.9937,0.0327,0.1110,1.000
17:39:55:719,1.0088,0.0513,0.1073,1.016
17:39:55:723,1.0330,0.0630,0.1005,1.040
17:39:55:731,1.0641,0.0667,0.0941,1.070
17:39:55:734,1.0890,0.0635,0.0861,1.094
17:39:55:739,1.1051,0.0564,0.0765,1.109
17:39:55:743,1.1142,0.0493,0.0658,1.117
17:39:55:754,1.1095,0.0390,0.0509,1.111
17:39:55:755,1.0998,0.0280,0.0347,1.101
17:39:55:759,1.0910,0.0170,0.0198,1.091
17:39:55:766,1.0831,0.0065,0.0108,1.083
17:39:55:768,1.0729,-0.0059,0.0064,1.073
17:39:55:774,1.0584,-0.0208,0.0076,1.059
17:39:55:779,1.0379,-0.0365,0.0193,1.039
17:39:55:786,1.0096,-0.0499,0.0416,1.012
17:39:55:788,0.9739,-0.0599,0.0629,0.978
17:39:55:793,0.9416,-0.0680,0.0734,0.947
17:39:55:803,0.9184,-0.0753,0.0748,0.924
17:39:55:804,0.8998,-0.0822,0.0699,0.906
17:39:55:808,0.8883,-0.0883,0.0585,0.895
17:39:55:813,0.8751,-0.0915,0.0453,0.881
17:39:55:820,0.8556,-0.0910,0.0352,0.861
17:39:55:824,0.8380,-0.0934,0.0225,0.843
17:39:55:829,0.8218,-0.0981,0.0098,0.828
17:39:55:835,0.8045,-0.0954,-0.0024,0.810
17:39:55:840,0.7864,-0.0873,-0.0139,0.791
17:39:55:843,0.7685,-0.0805,-0.0207,0.773
17:39:55:849,0.7505,-0.0719,-0.0207,0.754
17:39:55:857,0.7338,-0.0629,-0.0151,0.737
17:39:55:859,0.7189,-0.0538,-0.0071,0.721
17:39:55:867,0.7060,-0.0445,0.0032,0.707
17:39:55:869,0.6947,-0.0355,0.0176,0.696
17:39:55:876,0.6874,-0.0277,0.0330,0.689
17:39:55:887,0.6854,-0.0213,0.0514,0.688
17:39:55:888,0.6857,-0.0162,0.0629,0.689
17:39:55:890,0.6830,-0.0115,0.0643,0.686
17:39:55:895,0.6820,-0.0047,0.0707,0.686
17:39:55:900,0.6854,-0.0015,0.0783,0.690
17:39:55:904,0.6950,-0.0064,0.0880,0.701
17:39:55:908,0.7089,-0.0130,0.0958,0.715
17:39:55:915,0.7263,-0.0162,0.1012,0.733
17:39:55:920,0.7370,-0.0230,0.1017,0.744
17:39:55:924,0.7483,-0.0328,0.1073,0.757
17:39:55:929,0.7588,-0.0421,0.1174,0.769
17:39:55:934,0.7663,-0.0485,0.1276,0.778
17:39:55:939,0.7717,-0.0504,0.1303,0.784
17:39:55:944,0.7776,-0.0465,0.1252,0.789
17:39:55:949,0.7852,-0.0453,0.1064,0.794
17:39:55:955,0.7952,-0.0470,0.0805,0.801
17:39:55:959,0.8106,-0.0465,0.0660,0.815
17:39:55:968,0.8284,-0.0455,0.0597,0.832
17:39:55:974,0.8475,-0.0485,0.0572,0.851
17:39:55:975,0.8614,-0.0485,0.0553,0.865
17:39:55:983,0.8734,-0.0465,0.0492,0.876
17:39:55:984,0.8854,-0.0416,0.0382,0.887
17:39:55:989,0.8905,-0.0350,0.0267,0.892
17:39:55:994,0.8832,-0.0245,0.0149,0.884
17:39:55:999,0.8817,-0.0186,-0.0027,0.882
17:39:56:004,0.8964,-0.0279,-0.0181,0.897
17:39:56:014,0.9142,-0.0465,-0.0278,0.916
17:39:56:015,0.9294,-0.0685,-0.0291,0.932
17:39:56:020,0.9458,-0.0863,-0.0168,0.950
17:39:56:024,0.9484,-0.0939,0.0003,0.953
17:39:56:030,0.9423,-0.0939,0.0203,0.947
17:39:56:034,0.9377,-0.0895,0.0365,0.943
17:39:56:039,0.9362,-0.0868,0.0438,0.941
17:39:56:045,0.9279,-0.0827,0.0367,0.932
17:39:56:055,0.9145,-0.0763,0.0203,0.918
17:39:56:056,0.9008,-0.0719,0.0147,0.904
17:39:56:073,0.8934,-0.0648,0.0272,0.896
17:39:56:074,0.8939,-0.0533,0.0333,0.896
17:39:56:074,0.8981,-0.0384,0.0181,0.899
17:39:56:075,0.9010,-0.0194,-0.0009,0.901
17:39:56:080,0.9062,0.0016,-0.0119,0.906
17:39:56:085,0.9159,0.0246,-0.0200,0.916
17:39:56:091,0.9370,0.0508,-0.0278,0.939
17:39:56:095,0.9717,0.0752,-0.0347,0.975
17:39:56:100,1.0223,0.1002,-0.0427,1.028
17:39:56:105,1.0839,0.1261,-0.0547,1.093
17:39:56:110,1.1423,0.1549,-0.0731,1.155
17:39:56:116,1.2024,0.1864,-0.0848,1.220
17:39:56:120,1.2740,0.2092,-0.0782,1.293
17:39:56:124,1.3461,0.2185,-0.0594,1.365
17:39:56:130,1.4095,0.2199,-0.0332,1.427
17:39:56:135,1.4427,0.2126,-0.0105,1.458
17:39:56:140,1.4539,0.2006,0.0013,1.468
17:39:56:151,1.4407,0.1806,-0.0063,1.452
17:39:56:152,1.4055,0.1544,-0.0293,1.414
17:39:56:157,1.3760,0.1329,-0.0628,1.384
17:39:56:166,1.3613,0.1175,-0.1065,1.371
17:39:56:167,1.3510,0.1055,-0.1486,1.363
17:39:56:170,1.3366,0.0960,-0.1642,1.350
17:39:56:175,1.3222,0.0850,-0.1371,1.332
17:39:56:180,1.3183,0.0796,-0.0709,1.323
17:39:56:185,1.3483,0.0740,0.0118,1.350
17:39:56:190,1.4190,0.0716,0.1005,1.424
17:39:56:196,1.4820,0.0821,0.1880,1.496
17:39:56:201,1.5011,0.0977,0.2726,1.529
17:39:56:205,1.5153,0.1129,0.3474,1.559
17:39:56:211,1.5537,0.1297,0.3943,1.608
17:39:56:217,1.5862,0.1586,0.4158,1.647
17:39:56:220,1.5835,0.1913,0.4134,1.648
17:39:56:226,1.5300,0.2251,0.3672,1.589
17:39:56:232,1.4840,0.2590,0.2985,1.536
17:39:56:235,1.4510,0.2762,0.2120,1.492
17:39:56:240,1.4244,0.2686,0.1169,1.454
17:39:56:250,1.4280,0.2490,0.0321,1.450
17:39:56:251,1.4520,0.2246,-0.0445,1.470
17:39:56:257,1.4630,0.2062,-0.1129,1.482
17:39:56:265,1.4486,0.1879,-0.1652,1.470
17:39:56:266,1.4175,0.1605,-0.1965,1.440
17:39:56:271,1.3967,0.1244,-0.2048,1.417
17:39:56:275,1.3696,0.0860,-0.1916,1.386
17:39:56:282,1.3173,0.0488,-0.1652,1.329
17:39:56:286,1.2442,0.0258,-0.1303,1.251
17:39:56:291,1.1611,0.0254,-0.0885,1.165
17:39:56:295,1.0646,0.0320,-0.0515,1.066
17:39:56:301,0.9607,0.0349,-0.0173,0.961
17:39:56:305,0.8724,0.0439,0.0149,0.874
17:39:56:313,0.8018,0.0593,0.0406,0.805
17:39:56:316,0.7280,0.0632,0.0516,0.733
17:39:56:321,0.6629,0.0598,0.0604,0.668
17:39:56:326,0.6280,0.0623,0.0731,0.635
17:39:56:331,0.6045,0.0574,0.0768,0.612
17:39:56:336,0.5796,0.0452,0.0751,0.586
17:39:56:341,0.5569,0.0334,0.0756,0.563
17:39:56:350,0.5534,0.0276,0.0856,0.561
17:39:56:351,0.5654,0.0249,0.1017,0.575
17:39:56:355,0.5798,0.0175,0.1108,0.591
17:39:56:366,0.6011,0.0090,0.1144,0.612
17:39:56:367,0.6336,0.0080,0.1137,0.644
17:39:56:371,0.6620,0.0129,0.1110,0.671
17:39:56:376,0.6884,0.0197,0.1149,0.698
17:39:56:381,0.7140,0.0239,0.1215,0.725
17:39:56:386,0.7346,0.0271,0.1247,0.746
17:39:56:391,0.7470,0.0329,0.1266,0.758
17:39:56:397,0.7507,0.0427,0.1200,0.761
17:39:56:402,0.7509,0.0552,0.1064,0.760
17:39:56:406,0.7492,0.0659,0.0939,0.758
17:39:56:414,0.7443,0.0730,0.0868,0.753
17:39:56:416,0.7431,0.0791,0.0868,0.752
17:39:56:422,0.7507,0.0848,0.0934,0.761
17:39:56:426,0.7637,0.0899,0.1034,0.776
17:39:56:431,0.7808,0.0955,0.1137,0.795
17:39:56:437,0.7991,0.0997,0.1230,0.815
17:39:56:442,0.8174,0.1028,0.1288,0.834
17:39:56:451,0.8355,0.1050,0.1286,0.852
17:39:56:452,0.8504,0.1090,0.1235,0.866
17:39:56:457,0.8629,0.1180,0.1169,0.879
17:39:56:466,0.8805,0.1197,0.1083,0.895
17:39:56:467,0.8978,0.1134,0.0990,0.910
17:39:56:471,0.9152,0.1080,0.0895,0.926
17:39:56:476,0.9289,0.1068,0.0770,0.938
17:39:56:483,0.9362,0.1050,0.0614,0.944
17:39:56:486,0.9379,0.1004,0.0470,0.944
17:39:56:491,0.9338,0.0967,0.0333,0.939
17:39:56:499,0.9264,0.0970,0.0147,0.932
17:39:56:502,0.9208,0.0975,-0.0063,0.926
17:39:56:506,0.9154,0.0970,-0.0261,0.921
17:39:56:512,0.9074,0.0953,-0.0415,0.913
17:39:56:516,0.8961,0.0950,-0.0462,0.902
17:39:56:523,0.8773,0.0972,-0.0366,0.883
17:39:56:527,0.8573,0.0994,-0.0171,0.863
17:39:56:531,0.8338,0.0994,0.0076,0.840
17:39:56:537,0.8086,0.1006,0.0365,0.816
17:39:56:543,0.7886,0.1019,0.0692,0.798
17:39:56:551,0.7754,0.1031,0.1010,0.789
17:39:56:552,0.7649,0.1006,0.1208,0.781
17:39:56:557,0.7527,0.1011,0.1279,0.770
17:39:56:568,0.7426,0.1026,0.1200,0.759
17:39:56:569,0.7338,0.0987,0.1015,0.747
17:39:56:572,0.7338,0.0945,0.0817,0.744
17:39:56:576,0.7395,0.0899,0.0602,0.747
17:39:56:582,0.7419,0.0828,0.0328,0.747
17:39:56:587,0.7451,0.0767,0.0039,0.749
17:39:56:591,0.7544,0.0716,-0.0264,0.758
17:39:56:598,0.7681,0.0620,-0.0503,0.772
17:39:56:602,0.7798,0.0554,-0.0679,0.785
17:39:56:606,0.7820,0.0574,-0.0728,0.787
17:39:56:614,0.7751,0.0593,-0.0577,0.780
17:39:56:617,0.7678,0.0579,-0.0288,0.771
17:39:56:624,0.7649,0.0574,0.0096,0.767
17:39:56:626,0.7729,0.0584,0.0487,0.777
17:39:56:633,0.7778,0.0586,0.0790,0.784
17:39:56:638,0.7768,0.0603,0.1061,0.786
17:39:56:642,0.7815,0.0623,0.1352,0.796
17:39:56:649,0.7918,0.0662,0.1609,0.811
17:39:56:653,0.8013,0.0730,0.1785,0.824
17:39:56:657,0.8164,0.0762,0.1870,0.841
17:39:56:663,0.8306,0.0786,0.1887,0.855
17:39:56:667,0.8372,0.0874,0.1697,0.859
17:39:56:673,0.8345,0.1021,0.1342,0.851
17:39:56:677,0.8208,0.1173,0.1007,0.835
17:39:56:682,0.8030,0.1290,0.0785,0.817
17:39:56:688,0.7827,0.1417,0.0611,0.798
17:39:56:693,0.7705,0.1525,0.0519,0.787
17:39:56:697,0.7729,0.1571,0.0553,0.791
17:39:56:703,0.7852,0.1561,0.0665,0.803
17:39:56:707,0.7886,0.1525,0.0878,0.808
17:39:56:712,0.7900,0.1468,0.1308,0.814
17:39:56:718,0.8076,0.1420,0.1824,0.840
17:39:56:722,0.8365,0.1305,0.2276,0.877
17:39:56:728,0.8881,0.1065,0.2594,0.931
17:39:56:733,0.9509,0.0740,0.2831,0.995
17:39:56:737,1.0154,0.0398,0.3097,1.062
17:39:56:743,1.0753,0.0112,0.3344,1.126
17:39:56:748,1.1296,-0.0062,0.3388,1.179
17:39:56:752,1.1858,-0.0191,0.3007,1.223
17:39:56:758,1.2320,-0.0301,0.2095,1.250
17:39:56:767,1.2552,-0.0348,0.0783,1.258
