time,gFx,gFy,gFz,TgF
16:43:36:798,0.9773,0.0510,0.0751,0.981
16:43:36:800,0.9773,0.0527,0.0753,0.982
16:43:36:801,0.9790,0.0527,0.0758,0.983
16:43:36:802,0.9817,0.0500,0.0758,0.986
16:43:36:802,0.9846,0.0476,0.0768,0.989
16:43:36:804,0.9863,0.0476,0.0765,0.990
16:43:36:809,0.9871,0.0491,0.0761,0.991
16:43:36:817,0.9856,0.0496,0.0775,0.990
16:43:36:820,0.9854,0.0493,0.0792,0.990
16:43:36:825,0.9861,0.0481,0.0819,0.991
16:43:36:831,0.9861,0.0491,0.0858,0.991
16:43:36:835,0.9861,0.0500,0.0902,0.991
16:43:36:840,0.9849,0.0510,0.0944,0.991
16:43:36:845,0.9851,0.0520,0.0961,0.991
16:43:36:849,0.9854,0.0520,0.0961,0.991
16:43:36:855,0.9839,0.0522,0.0946,0.990
16:43:36:860,0.9824,0.0542,0.0912,0.988
16:43:36:871,0.9817,0.0552,0.0888,0.987
16:43:36:873,0.9795,0.0564,0.0880,0.985
16:43:36:875,0.9773,0.0571,0.0875,0.983
16:43:36:887,0.9748,0.0591,0.0849,0.980
16:43:36:889,0.9714,0.0613,0.0829,0.977
16:43:36:890,0.9714,0.0628,0.0812,0.977
16:43:36:895,0.9748,0.0615,0.0787,0.980
16:43:36:900,0.9780,0.0591,0.0773,0.983
16:43:36:905,0.9802,0.0576,0.0778,0.985
16:43:36:910,0.9812,0.0566,0.0787,0.986
16:43:36:915,0.9810,0.0569,0.0817,0.986
16:43:36:920,0.9812,0.0566,0.0861,0.987
16:43:36:925,0.9841,0.0552,0.0897,0.990
16:43:36:932,0.9866,0.0535,0.0914,0.992
16:43:36:936,0.9893,0.0525,0.0912,0.995
16:43:36:940,0.9900,0.0508,0.0875,0.995
16:43:36:945,0.9873,0.0518,0.0841,0.992
16:43:36:950,0.9846,0.0525,0.0812,0.989
16:43:36:956,0.9836,0.0530,0.0795,0.988
16:43:36:961,0.9834,0.0525,0.0787,0.988
16:43:36:975,0.9827,0.0530,0.0792,0.987
16:43:36:976,0.9817,0.0542,0.0817,0.987
16:43:36:977,0.9797,0.0552,0.0846,0.985
16:43:36:981,0.9785,0.0557,0.0875,0.984
16:43:36:993,0.9775,0.0559,0.0895,0.983
16:43:36:994,0.9770,0.0547,0.0910,0.983
16:43:36:996,0.9773,0.0537,0.0922,0.983
16:43:37:000,0.9788,0.0527,0.0914,0.984
16:43:37:005,0.9814,0.0515,0.0892,0.987
16:43:37:010,0.9812,0.0496,0.0873,0.986
16:43:37:016,0.9795,0.0493,0.0851,0.984
16:43:37:020,0.9795,0.0503,0.0839,0.984
16:43:37:025,0.9812,0.0510,0.0829,0.986
16:43:37:031,0.9824,0.0522,0.0814,0.987
16:43:37:036,0.9824,0.0530,0.0792,0.987
16:43:37:041,0.9827,0.0532,0.0768,0.987
16:43:37:045,0.9817,0.0530,0.0753,0.986
16:43:37:051,0.9812,0.0530,0.0734,0.985
16:43:37:057,0.9795,0.0532,0.0729,0.984
16:43:37:061,0.9768,0.0535,0.0748,0.981
16:43:37:074,0.9746,0.0537,0.0783,0.979
16:43:37:076,0.9746,0.0532,0.0805,0.979
16:43:37:077,0.9741,0.0525,0.0831,0.979
16:43:37:089,0.9746,0.0525,0.0858,0.980
16:43:37:090,0.9775,0.0510,0.0878,0.983
16:43:37:091,0.9807,0.0488,0.0870,0.986
16:43:37:099,0.9832,0.0466,0.0856,0.988
16:43:37:101,0.9836,0.0466,0.0849,0.988
16:43:37:106,0.9844,0.0478,0.0844,0.989
16:43:37:110,0.9856,0.0478,0.0836,0.990
16:43:37:116,0.9851,0.0481,0.0846,0.990
16:43:37:121,0.9834,0.0496,0.0870,0.988
16:43:37:126,0.9812,0.0505,0.0902,0.987
16:43:37:131,0.9800,0.0518,0.0910,0.986
16:43:37:136,0.9797,0.0530,0.0907,0.985
16:43:37:141,0.9795,0.0552,0.0892,0.985
16:43:37:147,0.9797,0.0564,0.0870,0.985
16:43:37:151,0.9812,0.0569,0.0831,0.986
16:43:37:157,0.9829,0.0584,0.0805,0.988
16:43:37:162,0.9824,0.0591,0.0795,0.987
16:43:37:167,0.9802,0.0603,0.0809,0.985
16:43:37:171,0.9790,0.0598,0.0851,0.985
16:43:37:178,0.9790,0.0598,0.0890,0.985
16:43:37:185,0.9795,0.0596,0.0922,0.986
16:43:37:186,0.9790,0.0584,0.0941,0.985
16:43:37:191,0.9797,0.0574,0.0951,0.986
16:43:37:197,0.9812,0.0569,0.0941,0.987
16:43:37:201,0.9822,0.0564,0.0919,0.988
16:43:37:206,0.9819,0.0542,0.0895,0.987
16:43:37:211,0.9819,0.0525,0.0861,0.987
