time,gFx,gFy,gFz,TgF
17:31:00:095,0.8974,-0.0003,-0.2945,0.944
17:31:00:101,0.8969,-0.0113,-0.2852,0.941
17:31:00:106,0.8942,-0.0196,-0.2686,0.934
17:31:00:110,0.8920,-0.0289,-0.2481,0.926
17:31:00:116,0.8883,-0.0423,-0.2222,0.917
17:31:00:121,0.8780,-0.0536,-0.1926,0.901
17:31:00:127,0.8719,-0.0575,-0.1569,0.888
17:31:00:131,0.8744,-0.0499,-0.1283,0.885
17:31:00:136,0.8996,-0.0296,-0.0987,0.905
17:31:00:140,0.9238,-0.0113,-0.0713,0.927
17:31:00:147,0.9394,-0.0084,-0.0513,0.941
17:31:00:158,0.9460,-0.0120,-0.0391,0.947
17:31:00:160,0.9472,-0.0130,-0.0303,0.948
17:31:00:161,0.9477,-0.0076,-0.0259,0.948
17:31:00:167,0.9477,0.0038,-0.0227,0.948
17:31:00:184,0.9685,-0.0059,-0.0024,0.969
17:31:00:186,0.9942,-0.0133,0.0189,0.994
17:31:00:186,1.0157,-0.0174,0.0330,1.016
17:31:00:187,1.0308,-0.0159,0.0477,1.032
17:31:00:192,1.0350,-0.0108,0.0677,1.037
17:31:00:196,1.0257,-0.0010,0.0841,1.029
17:31:00:201,1.0034,0.0104,0.0888,1.007
17:31:00:207,0.9898,0.0087,0.0917,0.994
17:31:00:211,0.9834,0.0060,0.0910,0.988
17:31:00:217,0.9709,0.0146,0.0741,0.974
17:31:00:222,0.9506,0.0320,0.0472,0.952
17:31:00:226,0.9504,0.0302,0.0347,0.952
17:31:00:231,0.9612,0.0222,0.0259,0.962
17:31:00:238,0.9668,0.0175,0.0149,0.967
17:31:00:242,0.9714,0.0122,0.0091,0.972
17:31:00:246,0.9753,0.0041,0.0123,0.975
17:31:00:255,0.9770,-0.0020,0.0230,0.977
17:31:00:256,0.9724,-0.0032,0.0360,0.973
17:31:00:261,0.9668,-0.0059,0.0450,0.968
17:31:00:273,0.9619,-0.0120,0.0467,0.963
17:31:00:274,0.9497,-0.0093,0.0357,0.950
17:31:00:277,0.9267,-0.0040,0.0162,0.927
17:31:00:282,0.9030,-0.0010,-0.0049,0.903
17:31:00:288,0.8766,0.0095,-0.0215,0.877
17:31:00:292,0.8614,0.0183,-0.0322,0.862
17:31:00:296,0.8578,0.0185,-0.0420,0.859
17:31:00:303,0.8529,0.0156,-0.0491,0.854
17:31:00:307,0.8463,0.0114,-0.0489,0.848
17:31:00:312,0.8375,0.0192,-0.0423,0.839
17:31:00:318,0.8204,0.0454,-0.0386,0.823
17:31:00:322,0.8260,0.0508,-0.0264,0.828
17:31:00:328,0.8519,0.0364,-0.0149,0.853
17:31:00:332,0.8952,0.0124,-0.0039,0.895
17:31:00:339,0.9382,-0.0035,0.0025,0.938
17:31:00:341,0.9736,-0.0096,0.0049,0.974
17:31:00:348,0.9956,-0.0125,0.0044,0.996
17:31:00:355,1.0017,-0.0106,0.0025,1.002
17:31:00:358,1.0027,-0.0108,0.0035,1.003
17:31:00:362,1.0020,-0.0089,0.0076,1.002
17:31:00:370,0.9927,0.0009,0.0096,0.993
17:31:00:371,0.9846,0.0104,0.0091,0.985
17:31:00:378,0.9849,0.0163,0.0079,0.985
17:31:00:381,0.9868,0.0190,0.0093,0.987
17:31:00:388,0.9863,0.0207,0.0098,0.987
17:31:00:392,0.9858,0.0214,0.0093,0.986
17:31:00:396,0.9902,0.0200,0.0123,0.991
17:31:00:402,1.0005,0.0175,0.0215,1.001
17:31:00:407,1.0118,0.0163,0.0369,1.013
17:31:00:412,1.0191,0.0129,0.0543,1.021
17:31:00:417,1.0191,0.0090,0.0704,1.022
17:31:00:422,1.0108,0.0068,0.0888,1.015
17:31:00:428,0.9983,0.0056,0.1090,1.004
17:31:00:432,0.9880,0.0075,0.1284,0.996
17:31:00:437,0.9822,0.0124,0.1469,0.993
17:31:00:441,0.9785,0.0173,0.1628,0.992
17:31:00:448,0.9739,0.0205,0.1760,0.990
17:31:00:454,0.9665,0.0222,0.1860,0.985
17:31:00:460,0.9602,0.0256,0.1907,0.979
17:31:00:462,0.9558,0.0293,0.1851,0.974
17:31:00:470,0.9543,0.0283,0.1648,0.969
17:31:00:472,0.9560,0.0219,0.1376,0.966
17:31:00:477,0.9602,0.0141,0.1176,0.967
17:31:00:482,0.9675,0.0070,0.1012,0.973
17:31:00:487,0.9751,0.0009,0.0829,0.979
17:31:00:492,0.9802,-0.0030,0.0663,0.982
17:31:00:497,0.9827,-0.0023,0.0585,0.984
17:31:00:502,0.9817,0.0036,0.0604,0.984
17:31:00:508,0.9792,0.0090,0.0665,0.982
17:31:00:513,0.9783,0.0119,0.0809,0.982
17:31:00:518,0.9788,0.0148,0.1046,0.984
17:31:00:522,0.9795,0.0158,0.1271,0.988
17:31:00:528,0.9812,0.0153,0.1425,0.992
17:31:00:533,0.9819,0.0141,0.1494,0.993
17:31:00:537,0.9817,0.0107,0.1543,0.994
17:31:00:542,0.9807,0.0136,0.1609,0.994
17:31:00:548,0.9817,0.0102,0.1587,0.994
17:31:00:554,0.9834,0.0041,0.1504,0.995
17:31:00:560,0.9812,-0.0008,0.1452,0.992
17:31:00:564,0.9761,0.0112,0.1484,0.987
17:31:00:569,0.9753,0.0158,0.1469,0.986
17:31:00:572,0.9810,-0.0027,0.1467,0.992
17:31:00:578,0.9900,-0.0267,0.1589,1.003
17:31:00:584,0.9998,-0.0423,0.1804,1.017
17:31:00:588,0.9981,-0.0321,0.2046,1.019
17:31:00:593,0.9917,-0.0169,0.2161,1.015
17:31:00:597,0.9937,-0.0081,0.2181,1.017
17:31:00:602,1.0125,-0.0071,0.2168,1.035
17:31:00:609,1.0457,-0.0096,0.2151,1.068
17:31:00:613,1.0853,-0.0150,0.2181,1.107
17:31:00:621,1.1252,-0.0252,0.2296,1.149
17:31:00:622,1.1604,-0.0367,0.2432,1.186
17:31:00:628,1.1863,-0.0389,0.2508,1.213
17:31:00:633,1.2058,-0.0348,0.2506,1.232
17:31:00:640,1.2151,-0.0267,0.2386,1.239
17:31:00:643,1.2095,-0.0169,0.2093,1.228
17:31:00:648,1.1899,-0.0145,0.1697,1.202
17:31:00:656,1.1682,-0.0169,0.1264,1.175
17:31:00:661,1.1525,0.0019,0.0839,1.156
17:31:00:663,1.1325,0.0366,0.0477,1.134
17:31:00:669,1.1093,0.0772,0.0269,1.112
17:31:00:673,1.0751,0.1031,0.0201,1.080
17:31:00:678,1.0318,0.0931,0.0088,1.036
17:31:00:683,1.0179,0.0716,-0.0085,1.020
17:31:00:688,1.0418,0.0581,-0.0264,1.044
17:31:00:692,1.0753,0.0557,-0.0489,1.078
17:31:00:698,1.0897,0.0672,-0.0872,1.095
17:31:00:703,1.0878,0.0818,-0.1300,1.099
17:31:00:709,1.0812,0.0948,-0.1674,1.098
17:31:00:713,1.0690,0.1129,-0.1965,1.093
17:31:00:719,1.0580,0.1349,-0.2202,1.089
17:31:00:723,1.0474,0.1574,-0.2476,1.088
17:31:00:730,1.0313,0.1742,-0.2796,1.083
17:31:00:735,1.0110,0.1884,-0.3155,1.076
17:31:00:738,0.9885,0.2028,-0.3502,1.068
17:31:00:743,0.9656,0.2131,-0.3791,1.059
17:31:00:748,0.9465,0.2097,-0.3859,1.043
17:31:00:755,0.9338,0.2067,-0.3752,1.027
17:31:00:758,0.9233,0.2050,-0.3512,1.009
17:31:00:764,0.9145,0.1926,-0.3065,0.983
17:31:00:771,0.9147,0.1720,-0.2456,0.963
17:31:00:773,0.9211,0.1578,-0.1821,0.952
17:31:00:779,0.9318,0.1512,-0.1129,0.951
17:31:00:785,0.9433,0.1515,-0.0393,0.956
17:31:00:789,0.9533,0.1530,0.0352,0.966
17:31:00:793,0.9643,0.1532,0.1196,0.984
17:31:00:799,0.9768,0.1481,0.1941,1.007
17:31:00:804,1.0069,0.1508,0.2440,1.047
17:31:00:810,1.0426,0.1505,0.2755,1.089
17:31:00:814,1.0614,0.1324,0.2674,1.103
17:31:00:818,1.0655,0.0789,0.2217,1.091
17:31:00:824,1.0533,0.0273,0.1626,1.066
17:31:00:830,1.0240,0.0085,0.1054,1.029
17:31:00:835,0.9846,0.0163,0.0536,0.986
17:31:00:838,0.9531,0.0378,0.0069,0.954
17:31:00:843,0.9392,0.0557,-0.0349,0.941
17:31:00:850,0.9362,0.0681,-0.0691,0.941
17:31:00:856,0.9348,0.0779,-0.0938,0.943
17:31:00:861,0.9286,0.0848,-0.1100,0.939
17:31:00:864,0.9152,0.0901,-0.1249,0.928
17:31:00:873,0.8944,0.0950,-0.1410,0.910
17:31:00:874,0.8697,0.0967,-0.1508,0.888
17:31:00:880,0.8507,0.0904,-0.1461,0.868
17:31:00:885,0.8575,0.0857,-0.1239,0.871
17:31:00:890,0.8795,0.0958,-0.0863,0.889
17:31:00:894,0.8788,0.0955,-0.0459,0.885
17:31:00:902,0.8690,0.0794,0.0079,0.873
17:31:00:903,0.8644,0.0623,0.0731,0.870
17:31:00:910,0.8729,0.0557,0.1298,0.884
17:31:00:914,0.8932,0.0603,0.1724,0.912
17:31:00:919,0.9052,0.0679,0.1970,0.929
17:31:00:924,0.9035,0.0757,0.1973,0.928
17:31:00:929,0.8905,0.0782,0.1736,0.911
17:31:00:934,0.8780,0.0786,0.1394,0.893
17:31:00:939,0.8653,0.0772,0.1066,0.875
17:31:00:943,0.8502,0.0725,0.0849,0.857
17:31:00:951,0.8321,0.0659,0.0697,0.838
17:31:00:955,0.8150,0.0581,0.0514,0.819
17:31:00:959,0.8054,0.0537,0.0372,0.808
17:31:00:964,0.8069,0.0537,0.0289,0.809
17:31:00:971,0.8142,0.0525,0.0208,0.816
17:31:00:976,0.8211,0.0520,0.0262,0.823
17:31:00:980,0.8248,0.0571,0.0343,0.827
17:31:00:987,0.8380,0.0684,0.0638,0.843
17:31:00:990,0.8497,0.0738,0.0993,0.859
17:31:00:995,0.8785,0.0911,0.1105,0.890
17:31:01:002,0.9086,0.1141,0.0809,0.919
17:31:01:004,0.9220,0.1256,0.0553,0.932
17:31:01:010,0.9294,0.1251,0.0643,0.940
17:31:01:016,0.9348,0.1170,0.0910,0.946
17:31:01:020,0.9370,0.1092,0.1242,0.951
17:31:01:024,0.9277,0.1041,0.1599,0.947
17:31:01:030,0.9225,0.1028,0.1758,0.945
17:31:01:035,0.9326,0.1109,0.1631,0.953
17:31:01:039,0.9548,0.1280,0.1384,0.973
17:31:01:045,0.9768,0.1327,0.0993,0.991
17:31:01:055,0.9868,0.1288,0.0616,0.997
17:31:01:056,0.9876,0.1283,0.0401,0.997
17:31:01:060,0.9858,0.1346,0.0279,0.995
17:31:01:068,0.9824,0.1405,0.0296,0.993
17:31:01:071,0.9761,0.1420,0.0477,0.987
17:31:01:074,0.9690,0.1383,0.0756,0.982
17:31:01:081,0.9663,0.1310,0.1002,0.980
17:31:01:084,0.9631,0.1207,0.1161,0.978
17:31:01:090,0.9597,0.1068,0.1259,0.974
17:31:01:094,0.9629,0.0962,0.1389,0.978
17:31:01:103,0.9758,0.0904,0.1548,0.992
17:31:01:105,0.9920,0.0806,0.1628,1.008
17:31:01:112,1.0242,0.0691,0.1567,1.038
17:31:01:115,1.0470,0.0601,0.1369,1.058
17:31:01:120,1.0592,0.0547,0.1232,1.068
17:31:01:125,1.0646,0.0569,0.1279,1.074
17:31:01:131,1.0499,0.0596,0.1506,1.062
17:31:01:135,1.0262,0.0576,0.1741,1.042
17:31:01:140,1.0049,0.0520,0.1873,1.024
17:31:01:145,0.9915,0.0452,0.2017,1.013
17:31:01:157,0.9888,0.0322,0.2149,1.012
17:31:01:158,0.9978,0.0210,0.2176,1.021
17:31:01:161,1.0088,0.0078,0.2080,1.030
17:31:01:165,1.0076,-0.0049,0.1880,1.025
17:31:01:171,1.0025,-0.0098,0.1741,1.018
17:31:01:175,1.0382,0.0124,0.1638,1.051
17:31:01:181,1.0870,0.0408,0.1376,1.096
17:31:01:185,1.1081,0.0593,0.1108,1.115
17:31:01:190,1.1156,0.0801,0.1024,1.123
17:31:01:196,1.1252,0.0926,0.1127,1.135
17:31:01:200,1.1445,0.0904,0.1315,1.156
17:31:01:205,1.1689,0.0767,0.1530,1.181
17:31:01:210,1.1841,0.0620,0.1812,1.199
17:31:01:215,1.1887,0.0503,0.2088,1.208
17:31:01:221,1.1860,0.0398,0.2291,1.209
17:31:01:226,1.1670,0.0307,0.2508,1.194
17:31:01:232,1.1298,0.0205,0.2855,1.166
17:31:01:235,1.0944,0.0092,0.3251,1.142
17:31:01:241,1.0763,0.0026,0.3569,1.134
17:31:01:246,1.0763,0.0002,0.3677,1.137
17:31:01:256,1.0961,-0.0069,0.3491,1.150
17:31:01:258,1.1286,-0.0133,0.2995,1.168
17:31:01:261,1.1489,-0.0203,0.2342,1.173
17:31:01:274,1.1599,-0.0291,0.1601,1.171
17:31:01:275,1.1635,-0.0338,0.0971,1.168
17:31:01:275,1.1369,-0.0250,0.0484,1.138
17:31:01:281,1.1305,-0.0120,0.0110,1.131
17:31:01:286,1.1560,0.0109,-0.0227,1.156
17:31:01:291,1.1643,0.0500,-0.0410,1.166
17:31:01:295,1.1530,0.0977,-0.0425,1.158
17:31:01:301,1.1464,0.1410,-0.0633,1.157
17:31:01:305,1.1425,0.1715,-0.0997,1.160
17:31:01:312,1.1401,0.1874,-0.1329,1.163
17:31:01:316,1.1452,0.1948,-0.1838,1.176
17:31:01:321,1.1574,0.2072,-0.2398,1.200
17:31:01:325,1.1621,0.2287,-0.2635,1.213
17:31:01:333,1.1506,0.2434,-0.2459,1.201
17:31:01:337,1.1156,0.2451,-0.2134,1.162
17:31:01:341,1.0719,0.2339,-0.1887,1.113
17:31:01:346,1.0396,0.2160,-0.1765,1.076
17:31:01:354,1.0140,0.1967,-0.1701,1.047
17:31:01:355,0.9868,0.1774,-0.1640,1.016
17:31:01:360,0.9597,0.1552,-0.1611,0.985
17:31:01:372,0.9350,0.1297,-0.1640,0.958
17:31:01:373,0.9079,0.1085,-0.1713,0.930
17:31:01:375,0.8741,0.0911,-0.1835,0.898
17:31:01:381,0.8316,0.0774,-0.1921,0.857
17:31:01:387,0.8101,0.0630,-0.1826,0.833
17:31:01:392,0.7905,0.0456,-0.1813,0.812
17:31:01:395,0.7585,0.0324,-0.1845,0.781
17:31:01:401,0.7417,0.0202,-0.1826,0.764
17:31:01:406,0.7412,0.0080,-0.1850,0.764
17:31:01:412,0.7478,0.0012,-0.1809,0.769
17:31:01:416,0.7549,0.0070,-0.1662,0.773
17:31:01:421,0.7566,0.0212,-0.1449,0.771
17:31:01:426,0.8030,0.0254,-0.1298,0.814
17:31:01:432,0.8790,0.0236,-0.1359,0.890
17:31:01:437,0.9599,0.0161,-0.1540,0.972
17:31:01:442,1.0213,0.0034,-0.1755,1.036
17:31:01:446,1.0795,-0.0179,-0.1975,1.098
17:31:01:457,1.1313,-0.0384,-0.2327,1.156
17:31:01:459,1.1538,-0.0463,-0.2647,1.185
17:31:01:461,1.1626,-0.0397,-0.2625,1.192
17:31:01:469,1.1645,-0.0289,-0.2557,1.193
17:31:01:472,1.1538,-0.0257,-0.2346,1.178
17:31:01:476,1.1403,-0.0240,-0.1977,1.158
17:31:01:481,1.1112,-0.0047,-0.1762,1.125
17:31:01:486,1.0582,0.0122,-0.1674,1.071
17:31:01:492,1.0279,0.0078,-0.1435,1.038
17:31:01:497,0.9981,-0.0025,-0.0948,1.003
17:31:01:502,0.9570,-0.0047,-0.0359,0.958
17:31:01:506,0.9179,0.0004,0.0171,0.918
17:31:01:512,0.8856,0.0046,0.0607,0.888
17:31:01:517,0.8898,0.0016,0.0951,0.895
17:31:01:521,0.8912,0.0024,0.1093,0.898
17:31:01:526,0.8663,0.0082,0.1103,0.873
17:31:01:532,0.8465,0.0119,0.0958,0.852
17:31:01:537,0.8345,0.0153,0.0567,0.837
17:31:01:542,0.8284,0.0251,0.0042,0.829
17:31:01:547,0.8299,0.0368,-0.0542,0.832
17:31:01:553,0.8240,0.0471,-0.1019,0.832
17:31:01:557,0.8106,0.0547,-0.1339,0.823
17:31:01:561,0.7984,0.0564,-0.1549,0.815
17:31:01:570,0.7646,0.0588,-0.1532,0.782
17:31:01:572,0.7299,0.0640,-0.1183,0.742
17:31:01:576,0.7216,0.0711,-0.0611,0.728
17:31:01:582,0.7316,0.0806,-0.0105,0.736
17:31:01:587,0.7426,0.0887,0.0135,0.748
17:31:01:593,0.7883,0.0789,0.0357,0.793
17:31:01:597,0.8428,0.0547,0.0575,0.847
17:31:01:602,0.8790,0.0317,0.0663,0.882
17:31:01:612,0.9022,0.0236,0.0756,0.906
