time,gFx,gFy,gFz,TgF
17:36:23:291,0.9714,0.0412,-0.0858,0.976
17:36:23:295,0.9636,0.0420,-0.0738,0.967
17:36:23:302,0.9516,0.0452,-0.0662,0.955
17:36:23:306,0.9372,0.0481,-0.0552,0.940
17:36:23:313,0.9145,0.0500,-0.0381,0.917
17:36:23:316,0.8903,0.0535,-0.0107,0.892
17:36:23:322,0.8834,0.0496,0.0154,0.885
17:36:23:334,0.8932,0.0342,0.0230,0.894
17:36:23:335,0.9044,0.0322,0.0242,0.905
17:36:23:336,0.9052,0.0349,0.0247,0.906
17:36:23:344,0.8937,0.0359,0.0167,0.895
17:36:23:353,0.8810,0.0449,0.0030,0.882
17:36:23:354,0.8788,0.0500,-0.0019,0.880
17:36:23:359,0.8714,0.0542,-0.0031,0.873
17:36:23:363,0.8680,0.0559,-0.0002,0.870
17:36:23:366,0.8741,0.0493,-0.0005,0.876
17:36:23:372,0.8712,0.0476,-0.0036,0.873
17:36:23:376,0.8568,0.0466,-0.0061,0.858
17:36:23:382,0.8438,0.0403,-0.0061,0.845
17:36:23:387,0.8328,0.0381,-0.0110,0.834
17:36:23:392,0.8314,0.0317,-0.0242,0.832
17:36:23:399,0.8362,0.0112,-0.0320,0.837
17:36:23:402,0.8404,-0.0052,-0.0352,0.841
17:36:23:408,0.8274,-0.0059,-0.0430,0.829
17:36:23:412,0.8072,0.0038,-0.0618,0.810
17:36:23:416,0.8145,-0.0079,-0.0721,0.818
17:36:23:423,0.8279,-0.0135,-0.0811,0.832
17:36:23:427,0.8135,0.0007,-0.0963,0.819
17:36:23:431,0.7871,0.0254,-0.1134,0.796
17:36:23:437,0.7874,0.0227,-0.1124,0.796
17:36:23:442,0.8094,-0.0003,-0.0909,0.814
17:36:23:447,0.8094,-0.0023,-0.0779,0.813
17:36:23:452,0.8052,0.0109,-0.0721,0.808
17:36:23:463,0.8059,0.0246,-0.0647,0.809
17:36:23:471,0.8003,0.0354,-0.0562,0.803
17:36:23:471,0.7930,0.0417,-0.0405,0.795
17:36:23:472,0.7925,0.0434,-0.0283,0.794
17:36:23:478,0.7962,0.0432,-0.0273,0.798
17:36:23:482,0.7869,0.0496,-0.0288,0.789
17:36:23:487,0.7852,0.0518,-0.0295,0.787
17:36:23:493,0.7947,0.0496,-0.0330,0.797
17:36:23:497,0.7871,0.0562,-0.0415,0.790
17:36:23:502,0.7817,0.0630,-0.0525,0.786
17:36:23:507,0.7908,0.0647,-0.0682,0.796
17:36:23:511,0.8042,0.0684,-0.0806,0.811
17:36:23:517,0.8169,0.0801,-0.0889,0.826
17:36:23:522,0.8282,0.0955,-0.0909,0.839
17:36:23:527,0.8353,0.1114,-0.0811,0.847
17:36:23:533,0.8414,0.1214,-0.0638,0.852
17:36:23:538,0.8529,0.1224,-0.0393,0.863
17:36:23:545,0.8807,0.1219,-0.0073,0.889
17:36:23:547,0.9162,0.1192,0.0098,0.924
17:36:23:553,0.9546,0.1138,0.0066,0.961
17:36:23:561,0.9880,0.0997,-0.0112,0.993
17:36:23:563,1.0164,0.0742,-0.0359,1.020
17:36:23:567,1.0421,0.0466,-0.0579,1.045
17:36:23:572,1.0614,0.0200,-0.0655,1.064
17:36:23:578,1.0709,-0.0030,-0.0672,1.073
17:36:23:583,1.0704,-0.0115,-0.0745,1.073
17:36:23:587,1.0650,-0.0076,-0.0806,1.068
17:36:23:592,1.0594,0.0002,-0.0792,1.062
17:36:23:597,1.0528,0.0053,-0.0723,1.055
17:36:23:603,1.0440,0.0085,-0.0599,1.046
17:36:23:608,1.0298,0.0102,-0.0513,1.031
17:36:23:612,1.0191,0.0131,-0.0537,1.021
17:36:23:617,1.0132,0.0192,-0.0643,1.015
17:36:23:624,1.0054,0.0239,-0.0777,1.009
17:36:23:627,0.9944,0.0283,-0.0904,0.999
17:36:23:633,0.9832,0.0334,-0.1014,0.989
17:36:23:638,0.9836,0.0205,-0.1029,0.989
17:36:23:645,0.9880,0.0031,-0.0968,0.993
17:36:23:647,0.9915,-0.0076,-0.0843,0.995
17:36:23:652,0.9973,-0.0318,-0.0621,1.000
17:36:23:662,1.0027,-0.0489,-0.0405,1.005
17:36:23:670,1.0025,-0.0548,-0.0298,1.004
17:36:23:671,0.9993,-0.0631,-0.0239,1.002
17:36:23:682,1.0010,-0.0749,-0.0151,1.004
17:36:23:683,1.0103,-0.0824,-0.0066,1.014
17:36:23:684,1.0232,-0.0854,-0.0012,1.027
