time,gFx,gFy,gFz,TgF
16:49:12:157,2.7785,-0.1274,0.3141,2.799
16:49:12:162,2.7130,-0.0893,0.5639,2.772
16:49:12:167,2.5527,-0.0573,0.8072,2.678
16:49:12:173,2.3845,-0.0511,0.9052,2.551
16:49:12:177,2.1794,0.0036,0.8712,2.347
16:49:12:181,1.9594,0.0977,0.7280,2.093
16:49:12:188,1.8135,0.1471,0.4808,1.882
16:49:12:192,1.6668,0.1549,0.2337,1.690
16:49:12:197,1.5493,0.1376,0.0914,1.558
16:49:12:201,1.4579,0.1256,0.0553,1.464
16:49:12:207,1.3593,0.1332,0.0836,1.368
16:49:12:213,1.2838,0.1180,0.0756,1.291
16:49:12:218,1.2286,0.0557,0.0272,1.230
16:49:12:223,1.1628,-0.0179,0.0003,1.163
16:49:12:227,1.1122,-0.0873,-0.0036,1.116
16:49:12:233,1.1122,-0.1506,-0.0024,1.122
16:49:12:237,1.1501,-0.2122,0.0181,1.170
16:49:12:246,1.1985,-0.2658,0.0523,1.229
16:49:12:247,1.2259,-0.3010,0.0990,1.266
16:49:12:253,1.2129,-0.3205,0.1508,1.264
16:49:12:258,1.1381,-0.3142,0.2115,1.199
16:49:12:262,1.0096,-0.2851,0.2645,1.082
16:49:12:267,0.8372,-0.2362,0.3080,0.923
16:49:12:273,0.6392,-0.1675,0.3212,0.735
16:49:12:278,0.4400,-0.0856,0.2772,0.527
16:49:12:283,0.3088,-0.0426,0.2547,0.403
16:49:12:287,0.2476,-0.0035,0.2457,0.349
16:49:12:293,0.2134,0.0635,0.1983,0.298
16:49:12:297,0.2359,0.1107,0.1310,0.292
16:49:12:304,0.2816,0.1559,0.0521,0.326
16:49:12:308,0.3097,0.2009,-0.0154,0.369
16:49:12:313,0.3073,0.2358,-0.0498,0.391
16:49:12:317,0.2836,0.2742,-0.0080,0.395
16:49:12:322,0.2567,0.3118,0.0905,0.414
16:49:12:327,0.2506,0.3292,0.1924,0.456
16:49:12:333,0.2445,0.3292,0.2706,0.491
16:49:12:338,0.2594,0.3089,0.3078,0.507
16:49:12:346,0.2777,0.2674,0.3430,0.516
16:49:12:349,0.2831,0.2065,0.4124,0.541
16:49:12:353,0.2907,0.1134,0.4645,0.560
16:49:12:358,0.3188,-0.0179,0.5067,0.599
16:49:12:363,0.3770,-0.1770,0.5669,0.703
16:49:12:367,0.4906,-0.3396,0.6488,0.881
16:49:12:373,0.6334,-0.4393,0.7629,1.085
16:49:12:378,0.7512,-0.4840,0.8673,1.245
16:49:12:382,0.8477,-0.4897,0.9453,1.361
16:49:12:388,0.9387,-0.4594,0.9704,1.426
16:49:12:393,1.0140,-0.3995,0.9389,1.438
16:49:12:398,1.0658,-0.3242,0.8758,1.417
16:49:12:403,1.1002,-0.2350,0.7881,1.374
16:49:12:408,1.1398,-0.1538,0.6950,1.344
16:49:12:413,1.1924,-0.0969,0.6097,1.343
16:49:12:420,1.2273,-0.0541,0.5329,1.339
16:49:12:425,1.2581,-0.0372,0.4799,1.347
16:49:12:427,1.2833,-0.0465,0.4674,1.367
16:49:12:433,1.2709,-0.0617,0.4943,1.365
16:49:12:438,1.2452,-0.0758,0.5402,1.359
16:49:12:444,1.2217,-0.0976,0.5808,1.356
16:49:12:448,1.2007,-0.1225,0.6104,1.353
16:49:12:454,1.1560,-0.1431,0.6141,1.317
16:49:12:461,1.1144,-0.1589,0.6053,1.278
16:49:12:465,1.0697,-0.1682,0.6028,1.239
16:49:12:472,1.0130,-0.1741,0.6023,1.191
16:49:12:474,0.9597,-0.1814,0.6016,1.147
16:49:12:478,0.9118,-0.1866,0.5996,1.107
16:49:12:484,0.8587,-0.1873,0.5899,1.059
16:49:12:487,0.8086,-0.1748,0.5674,1.003
16:49:12:497,0.7659,-0.1604,0.5373,0.949
16:49:12:498,0.7226,-0.1479,0.5153,0.900
16:49:12:503,0.6881,-0.1396,0.4999,0.862
16:49:12:508,0.6593,-0.1350,0.4916,0.833
16:49:12:514,0.6387,-0.1372,0.4943,0.819
16:49:12:518,0.6194,-0.1465,0.5021,0.811
16:49:12:524,0.6101,-0.1435,0.5153,0.811
16:49:12:528,0.5969,-0.1237,0.5261,0.805
16:49:12:535,0.5798,-0.1118,0.5226,0.789
16:49:12:539,0.5639,-0.0998,0.5111,0.768
16:49:12:544,0.5549,-0.0898,0.5072,0.757
16:49:12:548,0.5515,-0.0854,0.5287,0.769
16:49:12:553,0.5493,-0.0832,0.5561,0.786
16:49:12:561,0.5586,-0.0927,0.5745,0.807
16:49:12:567,0.5635,-0.1030,0.5913,0.823
16:49:12:568,0.5698,-0.1174,0.6053,0.840
16:49:12:576,0.5620,-0.1541,0.6097,0.843
16:49:12:578,0.5923,-0.1651,0.6111,0.867
16:49:12:583,0.6018,-0.1487,0.6023,0.864
16:49:12:588,0.6011,-0.1335,0.6040,0.863
16:49:12:594,0.6192,-0.1247,0.6177,0.883
16:49:12:598,0.6424,-0.1206,0.6456,0.919
16:49:12:604,0.6681,-0.1279,0.6876,0.967
16:49:12:609,0.7003,-0.1453,0.7258,1.019
16:49:12:614,0.7402,-0.1704,0.7512,1.068
16:49:12:618,0.7803,-0.1985,0.7744,1.117
16:49:12:626,0.8015,-0.2249,0.7964,1.152
16:49:12:632,0.8142,-0.2526,0.8128,1.178
16:49:12:634,0.8274,-0.2763,0.8257,1.201
16:49:12:638,0.8353,-0.2809,0.8411,1.218
16:49:12:644,0.8299,-0.2633,0.8553,1.221
16:49:12:650,0.8289,-0.2357,0.8578,1.216
16:49:12:655,0.8516,-0.2059,0.8438,1.216
16:49:12:662,0.8666,-0.1885,0.7991,1.194
16:49:12:664,0.8399,-0.1929,0.7441,1.139
16:49:12:669,0.8140,-0.1929,0.7067,1.095
16:49:12:674,0.7825,-0.1885,0.6879,1.059
16:49:12:681,0.7764,-0.1907,0.6967,1.060
16:49:12:684,0.7773,-0.1790,0.7072,1.066
16:49:12:688,0.7676,-0.1497,0.7160,1.060
16:49:12:697,0.7351,-0.1098,0.7052,1.025
16:49:12:699,0.7057,-0.0800,0.6761,0.981
16:49:12:705,0.6881,-0.0609,0.6576,0.954
16:49:12:710,0.6607,-0.0519,0.6571,0.933
16:49:12:715,0.6419,-0.0487,0.6727,0.931
16:49:12:719,0.6412,-0.0516,0.6908,0.944
16:49:12:725,0.6392,-0.0639,0.6986,0.949
16:49:12:728,0.6375,-0.0856,0.6964,0.948
16:49:12:735,0.6507,-0.1135,0.6808,0.949
16:49:12:739,0.6590,-0.1325,0.6661,0.946
16:49:12:744,0.6661,-0.1418,0.6688,0.955
16:49:12:753,0.6671,-0.1501,0.6842,0.967
16:49:12:755,0.6749,-0.1572,0.7065,0.990
16:49:12:761,0.6639,-0.1692,0.7267,0.999
16:49:12:764,0.6581,-0.1949,0.7470,1.014
16:49:12:769,0.6666,-0.2323,0.7671,1.042
16:49:12:776,0.6959,-0.2435,0.7861,1.078
16:49:12:779,0.6837,-0.2438,0.7798,1.065
16:49:12:785,0.6226,-0.2526,0.7705,1.022
16:49:12:790,0.5877,-0.2557,0.7744,1.005
16:49:12:795,0.5781,-0.2425,0.7764,0.998
16:49:12:799,0.5742,-0.2220,0.7551,0.974
16:49:12:804,0.5833,-0.1949,0.7309,0.955
16:49:12:810,0.5999,-0.1712,0.7101,0.945
16:49:12:816,0.5984,-0.1611,0.6928,0.930
16:49:12:820,0.5823,-0.1631,0.6737,0.905
16:49:12:825,0.5608,-0.1731,0.6598,0.883
16:49:12:829,0.5813,-0.1868,0.6585,0.898
16:49:12:836,0.5757,-0.1995,0.6710,0.906
16:49:12:840,0.5527,-0.2049,0.6896,0.907
16:49:12:844,0.5160,-0.2088,0.7263,0.915
16:49:12:849,0.4813,-0.2157,0.7651,0.929
16:49:12:855,0.4701,-0.2232,0.7944,0.950
16:49:12:863,0.4774,-0.2284,0.8213,0.977
16:49:12:868,0.4801,-0.2323,0.8502,1.004
16:49:12:870,0.4715,-0.2337,0.8827,1.028
16:49:12:875,0.4645,-0.2313,0.9108,1.048
16:49:12:880,0.4608,-0.2306,0.9313,1.064
16:49:12:884,0.4525,-0.2355,0.9401,1.070
16:49:12:890,0.4422,-0.2416,0.9365,1.063
16:49:12:895,0.4329,-0.2487,0.9299,1.055
16:49:12:899,0.4244,-0.2550,0.9201,1.045
16:49:12:905,0.4131,-0.2597,0.8978,1.022
16:49:12:910,0.3980,-0.2606,0.8661,0.988
16:49:12:915,0.3770,-0.2548,0.8421,0.957
16:49:12:920,0.3523,-0.2391,0.8492,0.950
16:49:12:925,0.3281,-0.2169,0.8538,0.940
16:49:12:930,0.3114,-0.1944,0.8284,0.906
16:49:12:935,0.3014,-0.1736,0.7927,0.866
16:49:12:940,0.3024,-0.1541,0.7600,0.832
16:49:12:946,0.3173,-0.1384,0.7338,0.811
16:49:12:949,0.3378,-0.1245,0.7148,0.800
16:49:12:956,0.3589,-0.1142,0.6969,0.792
16:49:12:963,0.3708,-0.1079,0.6972,0.797
16:49:12:968,0.3757,-0.1176,0.7194,0.820
16:49:12:970,0.3767,-0.1399,0.7505,0.851
16:49:12:977,0.3750,-0.1773,0.7678,0.873
16:49:12:980,0.3787,-0.2259,0.7874,0.902
16:49:12:986,0.3977,-0.2511,0.8299,0.954
16:49:12:990,0.4227,-0.2531,0.8932,1.020
16:49:12:996,0.4395,-0.2374,0.9585,1.081
16:49:13:002,0.4351,-0.2093,1.0039,1.114
16:49:13:006,0.4087,-0.1880,1.0262,1.120
16:49:13:011,0.3713,-0.1797,1.0369,1.116
16:49:13:017,0.3347,-0.1765,1.0479,1.114
16:49:13:020,0.3014,-0.1770,1.0712,1.127
16:49:13:026,0.2775,-0.1734,1.1081,1.155
16:49:13:031,0.2657,-0.1587,1.1550,1.196
16:49:13:037,0.2613,-0.1369,1.1987,1.235
16:49:13:041,0.2528,-0.1201,1.2291,1.261
16:49:13:046,0.2337,-0.1039,1.2352,1.261
16:49:13:050,0.2640,-0.1115,1.2266,1.260
16:49:13:056,0.2767,-0.1228,1.2019,1.239
16:49:13:061,0.2723,-0.1240,1.1682,1.206
16:49:13:065,0.2660,-0.1201,1.1381,1.175
16:49:13:071,0.2608,-0.1242,1.0988,1.136
16:49:13:077,0.2667,-0.1426,1.0553,1.098
16:49:13:080,0.2545,-0.1621,1.0142,1.058
16:49:13:088,0.2393,-0.1819,0.9744,1.020
16:49:13:090,0.2322,-0.2049,0.9797,1.028
16:49:13:096,0.2278,-0.2201,1.0166,1.065
16:49:13:101,0.2156,-0.2196,1.0164,1.062
16:49:13:105,0.2146,-0.2115,1.0056,1.050
16:49:13:110,0.2313,-0.2005,0.9956,1.042
16:49:13:116,0.2523,-0.1963,0.9812,1.032
16:49:13:121,0.2694,-0.1934,0.9531,1.009
16:49:13:127,0.2882,-0.1941,0.9174,0.981
16:49:13:130,0.3154,-0.2025,0.9189,0.992
16:49:13:137,0.3156,-0.1897,0.9678,1.035
16:49:13:142,0.3014,-0.1702,0.9819,1.041
16:49:13:145,0.2902,-0.1563,0.9812,1.035
16:49:13:151,0.2748,-0.1421,0.9971,1.044
16:49:13:157,0.2447,-0.0934,1.0389,1.071
16:49:13:162,0.2071,-0.0538,1.0088,1.031
16:49:13:166,0.1897,-0.0492,0.9626,0.982
16:49:13:170,0.1726,-0.0585,0.9477,0.965
16:49:13:178,0.1565,-0.0663,0.9592,0.974
16:49:13:182,0.1594,-0.0766,0.9812,0.997
16:49:13:186,0.1792,-0.0797,1.0064,1.025
16:49:13:192,0.1560,-0.0903,1.0494,1.065
16:49:13:196,0.1276,-0.1081,1.1073,1.120
16:49:13:201,0.1108,-0.1000,1.1430,1.153
16:49:13:206,0.1044,-0.0885,1.1633,1.171
16:49:13:211,0.1147,-0.0832,1.1694,1.178
16:49:13:216,0.1308,-0.0763,1.1643,1.174
16:49:13:221,0.1548,-0.0700,1.1543,1.167
16:49:13:227,0.1880,-0.0734,1.1330,1.151
16:49:13:231,0.1988,-0.0700,1.0902,1.110
16:49:13:237,0.1924,-0.0441,1.0489,1.067
16:49:13:243,0.1887,-0.0174,1.0098,1.027
16:49:13:247,0.1675,0.0214,0.9934,1.008
16:49:13:251,0.1460,0.0559,0.9917,1.004
16:49:13:261,0.1230,0.0955,1.0220,1.034
16:49:13:262,0.1198,0.1204,1.0184,1.032
16:49:13:266,0.1323,0.1280,1.0034,1.020
16:49:13:271,0.1313,0.1138,0.9876,1.003
16:49:13:278,0.1342,0.0801,0.9724,0.985
16:49:13:281,0.1286,0.0496,0.9761,0.986
16:49:13:286,0.0998,0.0491,1.0176,1.024
16:49:13:291,0.0717,0.0459,1.0428,1.046
16:49:13:297,0.0734,0.0210,1.0440,1.047
16:49:13:301,0.0858,-0.0020,1.0675,1.071
16:49:13:306,0.0677,0.0051,1.0985,1.101
16:49:13:314,0.0555,0.0021,1.0470,1.048
16:49:13:318,0.0585,-0.0206,0.9658,0.968
16:49:13:321,0.0658,-0.0499,0.9284,0.932
16:49:13:326,0.0453,-0.0499,0.9734,0.976
16:49:13:331,0.0347,-0.0394,1.0328,1.034
16:49:13:337,0.0311,-0.0309,1.0633,1.064
16:49:13:342,0.0533,-0.0221,1.1071,1.109
16:49:13:347,0.0494,0.0131,1.1428,1.144
16:49:13:351,0.0211,0.0752,1.1804,1.183
16:49:13:359,0.0057,0.1351,1.1799,1.188
16:49:13:362,0.0213,0.1600,1.1330,1.144
16:49:13:366,0.0291,0.1603,1.0932,1.105
16:49:13:372,0.0264,0.1544,1.0824,1.094
16:49:13:378,0.0321,0.1434,1.0704,1.080
16:49:13:384,0.0604,0.1158,1.0281,1.036
16:49:13:387,0.1139,0.0694,0.9704,0.980
16:49:13:391,0.1592,0.0290,0.9524,0.966
16:49:13:398,0.1865,-0.0008,0.9604,0.978
16:49:13:402,0.1951,-0.0174,0.9729,0.992
16:49:13:408,0.1878,-0.0269,0.9873,1.005
16:49:13:412,0.1702,-0.0367,1.0049,1.020
16:49:13:417,0.1560,-0.0543,1.0166,1.030
16:49:13:422,0.1543,-0.0788,1.0171,1.032
16:49:13:427,0.1518,-0.0976,1.0078,1.024
16:49:13:432,0.1369,-0.1181,0.9822,0.999
16:49:13:438,0.1034,-0.1262,0.9592,0.973
16:49:13:442,0.1039,-0.1790,0.8952,0.919
16:49:13:448,0.1198,-0.2347,0.8573,0.897
16:49:13:452,0.1325,-0.2435,0.8595,0.903
16:49:13:461,0.1464,-0.2271,0.8568,0.898
16:49:13:462,0.1191,-0.1824,0.8529,0.880
16:49:13:468,0.0352,-0.1035,0.8465,0.854
16:49:13:472,-0.0704,-0.0289,0.8340,0.838
16:49:13:478,-0.1738,0.0126,0.8243,0.842
16:49:13:482,-0.2451,0.0300,0.8260,0.862
16:49:13:487,-0.2750,0.0366,0.8443,0.889
16:49:13:493,-0.2698,0.0290,0.8595,0.901
16:49:13:498,-0.2354,-0.0023,0.8673,0.899
16:49:13:502,-0.1894,-0.0409,0.8910,0.912
16:49:13:508,-0.1422,-0.0678,0.9206,0.934
16:49:13:512,-0.1048,-0.0790,0.9492,0.958
16:49:13:518,-0.0936,-0.0849,0.9873,0.995
16:49:13:523,-0.0970,-0.0905,1.0206,1.029
16:49:13:528,-0.1031,-0.0983,1.0450,1.055
16:49:13:533,-0.0977,-0.1076,1.0726,1.082
