time,gFx,gFy,gFz,TgF
16:39:34:859,0.9528,-0.0084,0.2503,0.985
16:39:34:864,0.9533,-0.0101,0.2552,0.987
16:39:34:869,0.9524,-0.0108,0.2594,0.987
16:39:34:874,0.9499,-0.0103,0.2626,0.986
16:39:34:879,0.9465,-0.0101,0.2648,0.983
16:39:34:884,0.9455,-0.0101,0.2626,0.981
16:39:34:890,0.9482,-0.0096,0.2574,0.983
16:39:34:895,0.9531,-0.0089,0.2535,0.986
16:39:34:904,0.9597,-0.0089,0.2513,0.992
16:39:34:905,0.9682,-0.0106,0.2476,0.999
16:39:34:910,0.9731,-0.0096,0.2447,1.003
16:39:34:914,0.9731,-0.0076,0.2462,1.004
16:39:34:919,0.9707,-0.0062,0.2508,1.003
16:39:34:929,0.9629,-0.0045,0.2552,0.996
16:39:34:934,0.9570,-0.0020,0.2574,0.991
16:39:34:935,0.9558,0.0002,0.2608,0.991
16:39:34:939,0.9570,0.0007,0.2652,0.993
16:39:34:944,0.9555,-0.0005,0.2670,0.992
16:39:34:950,0.9550,-0.0037,0.2682,0.992
16:39:34:954,0.9582,-0.0098,0.2687,0.995
16:39:34:959,0.9700,-0.0167,0.2694,1.007
16:39:34:964,0.9778,-0.0228,0.2709,1.015
16:39:34:970,0.9785,-0.0257,0.2721,1.016
16:39:34:975,0.9753,-0.0282,0.2736,1.013
16:39:34:981,0.9712,-0.0291,0.2745,1.010
16:39:34:985,0.9607,-0.0257,0.2755,1.000
16:39:34:990,0.9494,-0.0216,0.2740,0.988
16:39:34:995,0.9389,-0.0179,0.2706,0.977
16:39:35:000,0.9372,-0.0164,0.2660,0.974
16:39:35:005,0.9436,-0.0199,0.2657,0.980
16:39:35:011,0.9382,-0.0157,0.2640,0.975
16:39:35:015,0.9374,-0.0115,0.2520,0.971
16:39:35:020,0.9477,-0.0137,0.2415,0.978
16:39:35:035,0.9541,-0.0142,0.2344,0.983
16:39:35:037,0.9577,-0.0155,0.2296,0.985
16:39:35:057,0.9575,-0.0140,0.2269,0.984
16:39:35:059,0.9543,-0.0106,0.2259,0.981
16:39:35:061,0.9543,-0.0091,0.2254,0.981
16:39:35:062,0.9592,-0.0106,0.2256,0.985
16:39:35:063,0.9607,-0.0113,0.2286,0.988
16:39:35:063,0.9609,-0.0115,0.2369,0.990
16:39:35:065,0.9604,-0.0118,0.2469,0.992
16:39:35:070,0.9597,-0.0108,0.2535,0.993
16:39:35:076,0.9624,-0.0101,0.2562,0.996
16:39:35:080,0.9634,-0.0089,0.2547,0.997
16:39:35:085,0.9614,-0.0098,0.2511,0.994
16:39:35:090,0.9621,-0.0106,0.2474,0.993
16:39:35:096,0.9580,-0.0101,0.2450,0.989
16:39:35:101,0.9492,-0.0103,0.2457,0.981
16:39:35:105,0.9411,-0.0103,0.2454,0.973
16:39:35:111,0.9389,-0.0076,0.2452,0.970
16:39:35:115,0.9367,-0.0071,0.2420,0.967
16:39:35:121,0.9404,-0.0079,0.2420,0.971
16:39:35:135,0.9418,-0.0115,0.2445,0.973
16:39:35:136,0.9384,-0.0216,0.2516,0.972
16:39:35:137,0.9470,-0.0318,0.2621,0.983
16:39:35:141,0.9775,-0.0089,0.2706,1.014
16:39:35:148,0.9707,0.0068,0.2701,1.008
16:39:35:150,0.9602,0.0092,0.2623,0.995
16:39:35:155,0.9616,-0.0008,0.2560,0.995
16:39:35:163,0.9697,-0.0181,0.2498,1.002
16:39:35:165,0.9775,-0.0272,0.2484,1.009
16:39:35:171,0.9756,-0.0235,0.2511,1.008
16:39:35:176,0.9624,-0.0125,0.2579,0.996
16:39:35:180,0.9480,-0.0023,0.2665,0.985
16:39:35:189,0.9399,0.0004,0.2699,0.978
16:39:35:193,0.9404,-0.0035,0.2635,0.977
16:39:35:195,0.9465,-0.0101,0.2513,0.979
16:39:35:200,0.9524,-0.0150,0.2364,0.981
16:39:35:205,0.9575,-0.0152,0.2247,0.984
16:39:35:211,0.9602,-0.0135,0.2193,0.985
16:39:35:215,0.9604,-0.0108,0.2215,0.986
16:39:35:221,0.9599,-0.0079,0.2286,0.987
16:39:35:230,0.9597,-0.0071,0.2354,0.988
16:39:35:231,0.9580,-0.0069,0.2415,0.988
16:39:35:235,0.9553,-0.0084,0.2462,0.987
16:39:35:243,0.9514,-0.0089,0.2484,0.983
16:39:35:246,0.9506,-0.0071,0.2489,0.983
16:39:35:251,0.9514,-0.0062,0.2498,0.984
16:39:35:255,0.9536,-0.0059,0.2498,0.986
16:39:35:261,0.9580,-0.0076,0.2486,0.990
16:39:35:266,0.9609,-0.0096,0.2486,0.993
